conv_id,date,transcript,num_msgs,email_usuario,preguntas_usuario,resumen,subsidio_recomendado,rsh,con_quien_postula,edad,tiene_propiedad,tiene_subsidio_habitacional,nacionalidad,ingresos,ahorro
CONV-10011,2025-06-13,Perspiciatis explicabo consequuntur sapiente repellat doloremque non.,24,nelson.marquez.demo37543@hotmail.com,"[""quae""]",Suscipit laborum error.,Ninguno,60%,Familia,21,No,Sí,Venezolana,Más de $1.200.000,$500.000
CONV-10012,2025-02-15,Nostrum vero a quod. Atque nobis vel consequatur.,12,nelson.marquez.demo37543@hotmail.com,"[""vitae""]",Asperiores tempora error eaque architecto.,DS19,60%,Cónyuge,65,No,Sí,Chilena,$400.000 - $600.000,$500.000
CONV-10013,2026-05-06,Vero eius porro blanditiis.,12,juan.herrera.demo37406@yahoo.com,"[""voluptas"", ""itaque"", ""ipsam""]",Vero mollitia minima aspernatur quidem enim qui.,Pendiente evaluación,80%,Solo,46,Sí,No,Chilena,Más de $1.200.000,$1.000.000
CONV-10014,2025-02-15,In sapiente fugiat quidem id. Possimus architecto officia dolorum totam totam.,5,luis.olivares.demo22479@yahoo.com,"[""officiis"", ""cum"", ""repellendus""]",Dolore deserunt dolorum nesciunt ex maxime.,Pendiente evaluación,60%,Familia,55,Sí,No,Chilena,Más de $1.200.000,$1.000.000
CONV-10015,2025-09-19,Molestias blanditiis earum nam fuga perferendis.,25,martin.castillo.demo26141@hotmail.com,"[""minima"", ""itaque"", ""alias""]",Hic nobis saepe deserunt deserunt suscipit saepe.,DS19,60%,Otros,41,Sí,No,Chilena,$600.001 - $900.000,$2.000.000
CONV-10016,2025-09-18,Maiores similique eligendi delectus.,24,francisco.sepulveda.demo26989@hotmail.com,"[""velit"", ""possimus"", ""aliquid"", ""iure""]",Ipsa possimus a.,Pendiente evaluación,No registra,Otros,34,Sí,No,Chilena,$600.001 - $900.000,$1.000.000
CONV-10017,2024-11-18,Vero voluptatibus odio architecto optio.,21,karen.araya.demo20404@hotmail.com,"[""ex"", ""corporis"", ""aliquam"", ""atque""]",Laboriosam rerum nisi vero non.,Pendiente evaluación,No registra,Solo,52,No,No,Chilena,$400.000 - $600.000,$2.000.000
CONV-10018,2024-09-19,Maiores temporibus veniam error minima.,3,elvis.vilches.demo13496@outlook.com,"[""neque"", ""sit"", ""totam""]",Possimus voluptatibus delectus neque nihil reprehenderit nam.,Ninguno,60%,Otros,49,Sí,No,Venezolana,$400.000 - $600.000,$1.000.000
CONV-10019,2026-03-20,Facilis nulla quibusdam vero numquam sequi.,15,loreto.oyarce.demo8537@yahoo.com,"[""voluptatum"", ""ut"", ""tempore""]",Cum ut autem ex accusantium quod dignissimos.,DS49,80%,Familia,48,No,Sí,Chilena,$600.001 - $900.000,$2.000.000
CONV-10020,2025-11-03,Eius similique aut aut vel quidem nesciunt laudantium. Sequi officiis repellat ex sit atque.,22,loreto.oyarce.demo8537@yahoo.com,"[""molestiae""]",Delectus voluptas labore quibusdam accusamus sunt.,DS19,40%,Otros,18,No,Sí,Chilena,$900.001 - $1.200.000,$500.000
CONV-10021,2026-01-24,Officia libero nemo deserunt fugit vero.,4,loreto.oyarce.demo8537@yahoo.com,"[""excepturi"", ""quibusdam"", ""dolores""]",Dolore sequi tenetur culpa libero necessitatibus non.,DS19,60%,Familia,34,No,Sí,Chilena,$600.001 - $900.000,$500.000
CONV-10022,2025-11-03,Labore exercitationem accusamus eius sunt accusantium dolore.,12,romina.diaz.demo23810@outlook.com,"[""facere"", ""facilis"", ""ex""]",Dolor quam magnam a ipsam.,Ninguno,80%,Otros,42,Sí,No,Chilena,$400.000 - $600.000,Sin ahorro formal
CONV-10023,2025-08-02,Aliquam tempore nemo quam. Dolorem aut sunt laborum. Quasi est non sunt quia dolor.,21,romina.diaz.demo23810@outlook.com,"[""ducimus"", ""facere"", ""modi""]",Ipsam fuga architecto illum soluta veritatis.,DS49,No registra,Otros,48,No,No,Chilena,$400.000 - $600.000,Sin ahorro formal
CONV-10024,2026-03-14,Non facere laboriosam aliquid.,17,romina.diaz.demo23810@outlook.com,"[""odit"", ""neque"", ""error"", ""corrupti""]",Nisi ad sequi deleniti nemo.,DS1,60%,Otros,20,Sí,No,Chilena,$900.001 - $1.200.000,$1.000.000
CONV-10025,2025-12-04,Beatae inventore quae qui ipsam aut. Deleniti non sint necessitatibus unde.,17,iris.flores.demo49100@hotmail.com,"[""officia"", ""explicabo""]",Maiores temporibus voluptatibus vel.,DS49,40%,Cónyuge,28,Sí,No,Chilena,$600.001 - $900.000,$1.000.000
CONV-10026,2024-06-24,Dolores esse non officia.,14,aurora.diaz.demo44117@hotmail.com,"[""perspiciatis""]",Ipsa quo hic accusantium.,Pendiente evaluación,80%,Familia,40,No,No,Chilena,$900.001 - $1.200.000,Sin ahorro formal
CONV-10027,2025-06-15,Libero ducimus ut sint repellat animi. Placeat dolores distinctio nemo.,4,jerson.garay.demo50065@yahoo.com,"[""quae""]",Enim alias voluptas dicta.,Ninguno,No registra,Familia,57,No,No,Chilena,$400.000 - $600.000,$1.000.000
CONV-10028,2025-11-02,Nesciunt nemo ducimus temporibus beatae rerum.,7,jerson.garay.demo50065@yahoo.com,"[""recusandae"", ""dolor"", ""adipisci""]",Perspiciatis autem occaecati impedit eaque.,Pendiente evaluación,60%,Solo,59,No,Sí,Venezolana,$600.001 - $900.000,$2.000.000
CONV-10029,2025-04-07,Itaque quia suscipit sunt mollitia sunt cum. Eveniet saepe dicta labore.,18,juan.droguett.demo20753@outlook.com,"[""illo"", ""ducimus"", ""ea""]",Quam impedit nulla accusantium a.,Pendiente evaluación,60%,Solo,53,No,No,Chilena,$400.000 - $600.000,Sin ahorro formal
CONV-10030,2024-10-31,Doloremque ea voluptatem voluptatem occaecati excepturi.,19,juan.droguett.demo20753@outlook.com,"[""praesentium""]",Rem laborum odit dolore.,Ninguno,80%,Cónyuge,36,Sí,Sí,Chilena,Más de $1.200.000,$1.000.000
CONV-10031,2026-03-11,Ducimus maxime distinctio laboriosam aut earum.,3,eduardo.fernandez.demo22056@hotmail.com,"[""est"", ""corporis"", ""minima""]",Cum incidunt dolorem consequatur debitis.,Pendiente evaluación,No registra,Familia,20,Sí,Sí,Chilena,$400.000 - $600.000,$1.000.000
CONV-10032,2025-01-25,Aspernatur consectetur explicabo doloremque ducimus deleniti doloribus.,22,rodrigo.cifuentes.demo21446@outlook.com,"[""temporibus"", ""cum"", ""enim""]",Necessitatibus et magnam esse.,DS49,40%,Familia,26,No,Sí,Chilena,$600.001 - $900.000,$1.000.000
CONV-10033,2025-08-07,Sunt nisi autem saepe voluptatum. Ipsam ex sapiente placeat.,14,alison.galaz.demo42317@hotmail.com,"[""nisi"", ""fugiat"", ""laborum""]",Nihil placeat rem suscipit.,Pendiente evaluación,No registra,Cónyuge,59,Sí,Sí,Chilena,$900.001 - $1.200.000,$1.000.000
CONV-10034,2025-01-01,Possimus consectetur quas doloremque minus.,24,francisco.lizana.demo24017@outlook.com,"[""recusandae"", ""eaque""]",Quam in neque dolor quibusdam nesciunt.,DS19,60%,Otros,54,No,Sí,Chilena,Más de $1.200.000,$2.000.000
CONV-10035,2025-12-09,Consequatur modi nostrum nemo delectus distinctio similique fugit.,19,francisco.lizana.demo24017@outlook.com,"[""laborum"", ""nemo"", ""libero""]",Officia quas architecto nemo.,DS19,80%,Familia,25,Sí,No,Chilena,$600.001 - $900.000,$500.000
CONV-10036,2025-07-23,Maiores minus aliquam optio sunt neque maiores. Facilis accusantium itaque suscipit dolorem fugiat.,20,francisco.lizana.demo24017@outlook.com,"[""facilis"", ""modi""]",Quidem sequi incidunt facere.,DS19,No registra,Solo,63,Sí,No,Chilena,$400.000 - $600.000,$500.000
CONV-10037,2026-01-05,Dicta dicta corrupti velit soluta.,25,francisco.san martin.demo30130@hotmail.com,"[""tempora"", ""nam"", ""consequatur"", ""quos""]",Animi voluptatem molestias facilis voluptas.,DS19,60%,Familia,18,No,Sí,Chilena,Más de $1.200.000,Sin ahorro formal
CONV-10038,2025-02-22,Esse optio possimus velit itaque iure optio illum.,8,francisco.san martin.demo30130@hotmail.com,"[""expedita"", ""repudiandae"", ""unde""]",Corrupti minus quaerat commodi.,DS1,60%,Cónyuge,66,Sí,Sí,Chilena,Más de $1.200.000,$1.000.000
CONV-10039,2025-10-27,Consequuntur quis possimus explicabo aspernatur.,13,colomba.villanueva.demo22757@hotmail.com,"[""non"", ""dolore"", ""labore"", ""eveniet""]",Nulla maiores magni modi nisi.,DS49,60%,Familia,51,Sí,Sí,Chilena,$900.001 - $1.200.000,$1.000.000
CONV-10040,2025-04-17,Placeat earum laudantium dolorem asperiores architecto.,16,colomba.villanueva.demo22757@hotmail.com,"[""molestiae""]",Nesciunt dolor eveniet corrupti.,DS1,60%,Otros,22,Sí,No,Chilena,$600.001 - $900.000,Sin ahorro formal
CONV-10041,2025-04-01,A error molestias inventore.,16,juan.torres.demo14654@yahoo.com,"[""necessitatibus"", ""eligendi""]",Voluptatem neque quo soluta perferendis.,Pendiente evaluación,No registra,Familia,63,No,Sí,Chilena,$400.000 - $600.000,$500.000
CONV-10042,2024-10-23,Assumenda culpa nulla officiis et iste odit.,24,juan.torres.demo14654@yahoo.com,"[""aperiam"", ""deserunt""]",Laboriosam voluptatem voluptate unde hic ipsum quis.,Pendiente evaluación,No registra,Cónyuge,28,Sí,Sí,Venezolana,$400.000 - $600.000,Sin ahorro formal
CONV-10043,2024-11-22,Ad adipisci quaerat voluptatum.,20,rosa.poblete.demo39918@hotmail.com,"[""excepturi"", ""quas""]",Natus architecto eum.,Ninguno,80%,Otros,28,No,Sí,Chilena,$900.001 - $1.200.000,$500.000
CONV-10044,2025-10-01,Non sed iusto. Vel assumenda vel nulla.,23,rosa.poblete.demo39918@hotmail.com,"[""incidunt"", ""maxime"", ""excepturi""]",Perferendis suscipit tenetur distinctio eos corrupti iure ipsum.,Pendiente evaluación,60%,Otros,40,No,Sí,Chilena,$900.001 - $1.200.000,$2.000.000
CONV-10045,2025-01-09,Neque explicabo sunt.,25,rosa.poblete.demo39918@hotmail.com,"[""delectus"", ""debitis"", ""consequuntur"", ""facilis""]",Eaque laborum id eos.,Pendiente evaluación,No registra,Otros,66,No,No,Chilena,$600.001 - $900.000,$2.000.000
CONV-10046,2024-11-30,Ab modi omnis sed voluptatum mollitia commodi. Recusandae blanditiis et sint earum.,10,maximo.barrientos.demo21694@gmail.com,"[""provident"", ""fugiat"", ""perspiciatis""]",Aut porro consequatur.,Ninguno,40%,Familia,29,Sí,No,Venezolana,$900.001 - $1.200.000,Sin ahorro formal
CONV-10047,2025-04-23,Aspernatur excepturi deleniti occaecati.,20,maximo.barrientos.demo21694@gmail.com,"[""iste"", ""nulla"", ""iusto""]",Totam dolores delectus placeat reprehenderit mollitia.,DS49,40%,Familia,20,Sí,No,Chilena,$900.001 - $1.200.000,$1.000.000
CONV-10048,2026-02-16,Eligendi blanditiis hic architecto fuga nobis magnam.,19,maximo.barrientos.demo21694@gmail.com,"[""amet"", ""corporis"", ""eaque"", ""fuga""]",Repudiandae perferendis reiciendis tempore veritatis ratione.,DS1,60%,Otros,41,No,Sí,Chilena,Más de $1.200.000,Sin ahorro formal
CONV-10049,2025-02-17,Dolore totam ducimus tenetur rem molestiae consequuntur provident.,25,carlos.reyes.demo18992@outlook.com,"[""facere""]",Asperiores nesciunt sapiente eaque adipisci est.,DS1,80%,Cónyuge,51,No,No,Chilena,$900.001 - $1.200.000,Sin ahorro formal
CONV-10050,2024-07-15,Nulla praesentium earum blanditiis sit. Hic deleniti ex facilis voluptas.,11,david.pizarro.demo43794@hotmail.com,"[""ullam"", ""facilis""]",Modi earum dicta atque repellat.,Ninguno,40%,Cónyuge,54,No,No,Chilena,$600.001 - $900.000,Sin ahorro formal
CONV-10051,2026-01-27,Tempora ullam aperiam. Aut in ratione voluptatem. Suscipit corporis atque.,4,david.pizarro.demo43794@hotmail.com,"[""facilis"", ""sapiente""]",Aspernatur magnam minima commodi rerum.,DS1,No registra,Solo,47,Sí,Sí,Chilena,$900.001 - $1.200.000,Sin ahorro formal
CONV-10052,2024-07-05,Quis id impedit deleniti. Sit ducimus accusantium consequuntur.,3,maria.castillo.demo51348@yahoo.com,"[""repellat"", ""a""]",Quam quidem sed ipsam sequi placeat amet.,DS49,60%,Solo,20,No,Sí,Chilena,Más de $1.200.000,$500.000
CONV-10053,2026-03-26,Placeat quia nulla nesciunt atque voluptatem ipsum.,17,alejandro.silva.demo42537@hotmail.com,"[""voluptatem"", ""error""]",Veritatis officiis rerum deserunt in dignissimos aliquam.,DS49,40%,Otros,49,Sí,No,Chilena,$900.001 - $1.200.000,$500.000
CONV-10054,2024-11-19,Dolores facilis soluta. Sequi dolor illo maxime cupiditate.,17,marisol.oliva.demo35061@outlook.com,"[""nemo""]",Porro eos quidem alias.,DS19,60%,Familia,58,No,Sí,Chilena,$400.000 - $600.000,$1.000.000
CONV-10055,2025-05-13,Architecto optio itaque.,20,marisol.oliva.demo35061@outlook.com,"[""repellendus""]",Deleniti expedita nemo excepturi doloribus quas quasi.,DS19,No registra,Otros,19,No,No,Chilena,$900.001 - $1.200.000,$500.000
CONV-10056,2024-06-04,Nam provident labore dolores repudiandae necessitatibus.,20,ignacio.vega.demo47127@yahoo.com,"[""magnam""]",Molestiae deleniti nemo voluptatem saepe.,DS1,No registra,Otros,65,Sí,Sí,Chilena,$400.000 - $600.000,$2.000.000
CONV-10057,2024-08-15,Voluptatibus veniam ut temporibus ipsa eos error.,18,ignacio.vega.demo47127@yahoo.com,"[""commodi""]",At nam consequuntur fuga voluptas.,Pendiente evaluación,40%,Cónyuge,37,No,Sí,Chilena,$600.001 - $900.000,$2.000.000
CONV-10058,2025-09-12,Saepe ea ullam qui unde amet placeat porro. Totam ab enim voluptates soluta nam quibusdam.,22,ignacio.vega.demo47127@yahoo.com,"[""quo""]",Exercitationem corrupti porro at.,Ninguno,80%,Cónyuge,19,Sí,No,Venezolana,$900.001 - $1.200.000,$2.000.000
CONV-10059,2025-03-27,Nobis illum provident. Placeat illo ea culpa. Perferendis nesciunt recusandae sint totam.,19,rene.cardenas.demo36718@yahoo.com,"[""dignissimos"", ""illo""]",Rem numquam quos fuga at.,DS49,80%,Cónyuge,46,No,No,Chilena,$900.001 - $1.200.000,$500.000
CONV-10060,2024-06-06,Ullam eaque ipsam consectetur magnam optio consequatur. Harum sapiente quam tempore.,25,rene.cardenas.demo36718@yahoo.com,"[""quod""]",Vitae iure quis pariatur placeat vero.,DS1,80%,Solo,19,No,No,Chilena,$900.001 - $1.200.000,Sin ahorro formal
CONV-10061,2024-09-07,Repudiandae adipisci nemo ad nulla. Fugiat velit ea vitae delectus.,10,maite.cifuentes.demo21436@outlook.com,"[""quod""]",Voluptate ad a porro.,DS1,40%,Otros,65,No,No,Chilena,$600.001 - $900.000,$1.000.000
CONV-10062,2025-10-05,Est ad repudiandae accusamus placeat odio.,25,maite.cifuentes.demo21436@outlook.com,"[""voluptatum"", ""modi"", ""officia"", ""praesentium""]",Culpa repellendus culpa exercitationem.,Pendiente evaluación,No registra,Cónyuge,25,No,No,Chilena,Más de $1.200.000,Sin ahorro formal
CONV-10063,2025-05-31,Illum corrupti ex. Dolorum mollitia adipisci nostrum repellat sequi a.,13,maite.cifuentes.demo21436@outlook.com,"[""laborum"", ""a"", ""consectetur""]",Quis corrupti saepe fugiat itaque ipsum numquam.,Ninguno,80%,Otros,50,Sí,Sí,Chilena,$900.001 - $1.200.000,$1.000.000
CONV-10064,2024-11-11,Ex quia blanditiis expedita perspiciatis necessitatibus quisquam.,8,francisco.ulloa.demo23167@gmail.com,"[""deserunt"", ""blanditiis"", ""modi"", ""perspiciatis""]",Magni veniam incidunt.,Ninguno,80%,Familia,62,Sí,No,Venezolana,$400.000 - $600.000,$500.000
CONV-10065,2025-01-30,Eum occaecati consectetur expedita expedita possimus optio.,5,carolina.reyes.demo38443@gmail.com,"[""aut""]",Neque quam dolorum numquam soluta saepe tempore.,Ninguno,No registra,Solo,70,No,No,Venezolana,$400.000 - $600.000,$1.000.000
CONV-10066,2025-09-22,Vitae voluptate a. Soluta aspernatur eos quia.,7,carolina.reyes.demo38443@gmail.com,"[""architecto"", ""laboriosam""]",Recusandae repellat et incidunt.,Ninguno,80%,Familia,43,Sí,No,Chilena,$400.000 - $600.000,Sin ahorro formal
CONV-10067,2024-07-03,Nihil optio animi itaque distinctio.,23,carolina.reyes.demo38443@gmail.com,"[""aliquam"", ""minima"", ""illum"", ""vero""]",Magni error pariatur placeat asperiores.,DS49,No registra,Familia,27,Sí,No,Chilena,$600.001 - $900.000,$1.000.000
CONV-10068,2024-06-14,In mollitia sit tenetur molestiae vel minus placeat.,15,maria.riffo.demo49485@hotmail.com,"[""dignissimos""]",Possimus magni maiores ad temporibus ut ipsum.,Pendiente evaluación,80%,Familia,48,Sí,No,Chilena,$900.001 - $1.200.000,Sin ahorro formal
CONV-10069,2025-08-02,Quidem non voluptate neque architecto quo architecto.,22,maria.riffo.demo49485@hotmail.com,"[""nam"", ""assumenda""]",Exercitationem aliquid reiciendis architecto occaecati vero aliquid.,DS19,80%,Familia,37,Sí,No,Chilena,$900.001 - $1.200.000,$2.000.000
CONV-10070,2025-06-20,Corrupti assumenda fugit beatae.,24,maria.riffo.demo49485@hotmail.com,"[""molestias""]",Commodi consequatur occaecati minus.,Ninguno,60%,Cónyuge,51,Sí,No,Chilena,$900.001 - $1.200.000,$1.000.000
CONV-10071,2025-05-29,Facere ipsum nihil et maxime voluptates.,7,ivan.pacheco.demo18057@gmail.com,"[""dicta"", ""tempore""]",Eius cumque voluptate dignissimos porro et.,Ninguno,No registra,Familia,67,Sí,Sí,Chilena,$600.001 - $900.000,$500.000
CONV-10072,2025-02-24,Consectetur a perferendis ut. Quas nihil optio facilis fugit nostrum.,16,ivan.pacheco.demo18057@gmail.com,"[""officia"", ""alias""]",Cum debitis ratione praesentium repudiandae.,Ninguno,No registra,Otros,54,Sí,Sí,Chilena,$600.001 - $900.000,$500.000
CONV-10073,2025-08-28,Velit excepturi porro rerum quisquam totam.,25,ivan.pacheco.demo18057@gmail.com,"[""impedit"", ""ipsa"", ""fuga""]",Quos dignissimos magni iure blanditiis itaque incidunt.,Ninguno,40%,Otros,43,No,No,Chilena,$900.001 - $1.200.000,Sin ahorro formal
CONV-10074,2024-11-02,Quidem est voluptas placeat culpa dolorem.,16,fredy.aguayo.demo41393@outlook.com,"[""eaque""]",Iste excepturi quo rerum assumenda quidem sint tempore.,DS1,80%,Cónyuge,69,Sí,No,Chilena,$900.001 - $1.200.000,$2.000.000
CONV-10075,2026-04-21,Reprehenderit beatae facilis inventore eum a.,8,fredy.aguayo.demo41393@outlook.com,"[""officia""]",Illo accusantium cumque perspiciatis odit.,DS49,40%,Familia,58,No,No,Venezolana,$600.001 - $900.000,$1.000.000
CONV-10076,2025-04-23,Porro animi pariatur libero atque iusto. Molestias voluptatum et.,9,fredy.aguayo.demo41393@outlook.com,"[""optio"", ""consequatur"", ""ad""]",Neque illo sunt accusantium fugit odio.,Pendiente evaluación,40%,Solo,20,No,Sí,Chilena,$400.000 - $600.000,$2.000.000
CONV-10077,2025-06-16,Explicabo quo repudiandae pariatur aliquam eveniet.,20,silvia.guerrero.demo26019@hotmail.com,"[""distinctio"", ""unde""]",Voluptates libero eaque harum delectus excepturi.,Pendiente evaluación,60%,Cónyuge,65,Sí,No,Chilena,$400.000 - $600.000,$500.000
CONV-10078,2026-05-24,Nihil occaecati saepe doloribus ut. Nesciunt vel tempora.,11,silvia.guerrero.demo26019@hotmail.com,"[""assumenda""]",Eveniet corrupti molestiae consequuntur ducimus quis quibusdam fuga.,DS19,80%,Familia,67,Sí,No,Chilena,$600.001 - $900.000,Sin ahorro formal
CONV-10079,2025-04-08,Eaque sit nostrum cum deserunt. Corporis eum recusandae reprehenderit alias commodi ipsum.,3,monserrat.galaz.demo50289@hotmail.com,"[""cum"", ""magnam"", ""temporibus""]",Tempora similique ad laboriosam error.,Pendiente evaluación,No registra,Otros,49,No,Sí,Colombiana,$400.000 - $600.000,$500.000
CONV-10080,2025-04-11,Omnis alias laudantium omnis id.,6,dominga.tapia.demo31467@outlook.com,"[""ut"", ""unde"", ""mollitia""]",Dolorum corrupti enim natus.,DS19,80%,Otros,69,Sí,No,Chilena,$400.000 - $600.000,Sin ahorro formal
CONV-10081,2024-09-21,Voluptas deleniti dignissimos hic veniam.,25,yolanda.robles.demo17106@outlook.com,"[""rem""]",Vitae repudiandae possimus veritatis.,DS1,60%,Familia,44,Sí,Sí,Chilena,$600.001 - $900.000,$1.000.000
CONV-10082,2024-09-18,Dolor eos neque ad molestiae.,10,hilda.soto.demo22762@outlook.com,"[""eaque"", ""iusto"", ""aperiam"", ""asperiores""]",Similique nobis exercitationem quo ipsam dolorem esse doloremque.,Pendiente evaluación,60%,Cónyuge,30,No,No,Venezolana,$900.001 - $1.200.000,$1.000.000
CONV-10083,2025-12-16,Maiores alias animi pariatur nulla laborum.,10,hilda.soto.demo22762@outlook.com,"[""cupiditate""]",Nihil quaerat aspernatur porro magni sint.,DS49,No registra,Solo,39,No,Sí,Chilena,Más de $1.200.000,$1.000.000
CONV-10084,2025-07-04,Cum praesentium aliquid nisi. Optio quam officiis ad.,20,hilda.soto.demo22762@outlook.com,"[""minus""]",Fugiat tempora optio ea excepturi.,DS49,60%,Cónyuge,62,No,Sí,Chilena,$400.000 - $600.000,$2.000.000
CONV-10085,2025-08-19,Corporis necessitatibus occaecati.,11,eliana.vega.demo14186@yahoo.com,"[""similique"", ""dicta"", ""ullam"", ""fuga""]",Non ipsum veniam.,Pendiente evaluación,40%,Otros,35,Sí,No,Chilena,$400.000 - $600.000,$2.000.000
CONV-10086,2025-09-09,Unde alias repudiandae iusto deserunt error ex eaque.,6,eliana.vega.demo14186@yahoo.com,"[""soluta"", ""sint""]",Adipisci nesciunt perspiciatis ea hic.,DS49,60%,Otros,30,Sí,Sí,Chilena,Más de $1.200.000,$500.000
CONV-10087,2025-01-08,Aspernatur dolorum totam dolor ea quos sit.,25,valentina.rojas.demo30198@yahoo.com,"[""ipsam"", ""quos""]",Ab corporis atque perspiciatis ut aspernatur alias.,DS1,40%,Solo,49,Sí,Sí,Chilena,$400.000 - $600.000,Sin ahorro formal
CONV-10088,2025-02-18,Modi voluptatum ad cum. Iste id consectetur necessitatibus nemo nam.,22,romina.fuentes.demo49@hotmail.com,"[""laudantium"", ""dignissimos""]",Aperiam officiis illum voluptatibus harum culpa perferendis.,Ninguno,80%,Familia,19,Sí,Sí,Chilena,$600.001 - $900.000,$1.000.000
CONV-10089,2025-10-31,Dolorem saepe autem quod consectetur necessitatibus eveniet facere.,17,romina.fuentes.demo49@hotmail.com,"[""rem"", ""quasi"", ""atque"", ""possimus""]",Nulla quidem expedita exercitationem cupiditate.,DS49,80%,Familia,51,No,No,Chilena,$400.000 - $600.000,Sin ahorro formal
CONV-10090,2026-04-08,Eum quisquam aliquid ad delectus excepturi deleniti cupiditate.,7,leandro.cartes.demo49900@yahoo.com,"[""quisquam"", ""reprehenderit""]",Sed consequatur quaerat sunt explicabo et.,Pendiente evaluación,80%,Otros,67,Sí,No,Chilena,$900.001 - $1.200.000,$1.000.000
CONV-10091,2025-02-23,Accusantium saepe eum iusto error odit atque ducimus.,7,leandro.cartes.demo49900@yahoo.com,"[""ipsum"", ""saepe""]",Laborum animi laudantium dicta.,Pendiente evaluación,40%,Cónyuge,65,No,Sí,Chilena,$900.001 - $1.200.000,Sin ahorro formal
CONV-10092,2025-10-24,Et modi neque cum nemo facilis. Et officia suscipit.,24,leandro.cartes.demo49900@yahoo.com,"[""quibusdam"", ""commodi"", ""laudantium""]",Sequi debitis numquam delectus.,DS49,No registra,Cónyuge,32,No,Sí,Chilena,$600.001 - $900.000,$1.000.000
CONV-10093,2024-08-30,Mollitia aut voluptatem debitis explicabo nam. Ad fugiat magni.,5,cristian.arenas.demo32074@gmail.com,"[""esse"", ""ipsa"", ""ducimus""]",Illum distinctio quaerat quidem porro quas nam.,Ninguno,40%,Cónyuge,26,No,Sí,Chilena,Más de $1.200.000,$2.000.000
CONV-10094,2026-02-13,Nisi impedit iure necessitatibus. Architecto veritatis quae id.,20,cristian.arenas.demo32074@gmail.com,"[""nesciunt"", ""accusantium"", ""assumenda""]",Magnam illo quia magnam optio numquam sit.,DS49,No registra,Solo,30,No,No,Chilena,$600.001 - $900.000,$500.000
