TALLER_ENTRY_ID,TALLER_TITLE,TALLER_URL,MEMBER_ID,MEMBER_SCREEN_NAME,MEMBER_EMAIL,MEMBER_URL,FORMULARIO_ENTRY_ID,FORMULARIO_URL,FORMULARIO_STATUS,FORMULARIO_ENTRY_DATE,PREGUNTAS - RESPUESTAS
ENTRY-10010,Webinar: Cómo Postular al Subsidio Habitacional,http://deficitcero.cl/talleres/6,MEM-138111,Dominga Peña,dominga.pena.demo38111@hotmail.com,http://comunidad.deficitcero.cl/u/80196,FORM-10010,http://forms.deficitcero.cl/f/510,pendiente,2025-01-09,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""No""}"
ENTRY-10011,Jornada Comités de Vivienda - Región Metropolitana,http://deficitcero.cl/talleres/4,MEM-133405,Juan Carvajal,juan.carvajal.demo33405@outlook.com,http://comunidad.deficitcero.cl/u/30978,FORM-10011,http://forms.deficitcero.cl/f/670,pendiente,2025-01-08,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""No""}"
ENTRY-10012,Jornada Comités de Vivienda - Región Metropolitana,http://deficitcero.cl/talleres/1,MEM-119957,Isidora Mancilla,isidora.mancilla.demo19957@yahoo.com,http://comunidad.deficitcero.cl/u/2284,FORM-10012,http://forms.deficitcero.cl/f/620,completado,2024-07-30,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""No""}"
ENTRY-10013,Asamblea Informativa DS49,http://deficitcero.cl/talleres/3,MEM-110472,Jaime Acuña,jaime.acuna.demo10472@outlook.com,http://comunidad.deficitcero.cl/u/50934,FORM-10013,http://forms.deficitcero.cl/f/139,completado,2024-06-07,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""No""}"
ENTRY-10014,Taller Ahorro y Subsidio Habitacional,http://deficitcero.cl/talleres/7,MEM-143534,César Leal,cesar.leal.demo43534@gmail.com,http://comunidad.deficitcero.cl/u/2826,FORM-10014,http://forms.deficitcero.cl/f/275,completado,2025-05-27,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""S\u00ed""}"
ENTRY-10015,Asamblea Informativa DS49,http://deficitcero.cl/talleres/4,MEM-114210,Ulises Henríquez,ulises.henriquez.demo14210@yahoo.com,http://comunidad.deficitcero.cl/u/76694,FORM-10015,http://forms.deficitcero.cl/f/889,completado,2025-06-01,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""S\u00ed""}"
ENTRY-10016,Taller de Postulación DS19 - Mayo 2026,http://deficitcero.cl/talleres/3,MEM-114296,Álvaro Valdebenito,alvaro.valdebenito.demo14296@hotmail.com,http://comunidad.deficitcero.cl/u/54526,FORM-10016,http://forms.deficitcero.cl/f/898,completado,2024-11-30,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""S\u00ed""}"
ENTRY-10017,Webinar: Cómo Postular al Subsidio Habitacional,http://deficitcero.cl/talleres/3,MEM-142829,Ana Montecinos,ana.montecinos.demo42829@hotmail.com,http://comunidad.deficitcero.cl/u/59472,FORM-10017,http://forms.deficitcero.cl/f/499,completado,2024-05-25,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""No""}"
ENTRY-10018,Webinar: Cómo Postular al Subsidio Habitacional,http://deficitcero.cl/talleres/3,MEM-140540,Carlos Quezada,carlos.quezada.demo40540@yahoo.com,http://comunidad.deficitcero.cl/u/57435,FORM-10018,http://forms.deficitcero.cl/f/315,completado,2024-07-16,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""S\u00ed""}"
ENTRY-10019,Taller de Educación Financiera,http://deficitcero.cl/talleres/2,MEM-104807,Inés Fernández,ines.fernandez.demo4807@outlook.com,http://comunidad.deficitcero.cl/u/89312,FORM-10019,http://forms.deficitcero.cl/f/592,completado,2024-10-01,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""S\u00ed""}"
ENTRY-10020,Taller de Postulación DS19 - Mayo 2026,http://deficitcero.cl/talleres/5,MEM-118945,Valeria González,valeria.gonzalez.demo18945@yahoo.com,http://comunidad.deficitcero.cl/u/94071,FORM-10020,http://forms.deficitcero.cl/f/638,completado,2025-03-13,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""S\u00ed""}"
ENTRY-10021,Charla: Déficit Habitacional en Chile,http://deficitcero.cl/talleres/4,MEM-118029,Georgina Mondaca,georgina.mondaca.demo18029@gmail.com,http://comunidad.deficitcero.cl/u/40176,FORM-10021,http://forms.deficitcero.cl/f/893,pendiente,2024-07-28,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""No""}"
ENTRY-10022,Taller Subsidio Sectores Medios DS.01,http://deficitcero.cl/talleres/4,MEM-119610,Vicente González,vicente.gonzalez.demo19610@hotmail.com,http://comunidad.deficitcero.cl/u/64245,FORM-10022,http://forms.deficitcero.cl/f/849,completado,2026-02-17,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""S\u00ed""}"
ENTRY-10023,Taller Ahorro y Subsidio Habitacional,http://deficitcero.cl/talleres/8,MEM-137700,Gerardo Carrasco,gerardo.carrasco.demo37700@hotmail.com,http://comunidad.deficitcero.cl/u/8429,FORM-10023,http://forms.deficitcero.cl/f/254,completado,2025-01-30,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""S\u00ed""}"
ENTRY-10024,Charla: Déficit Habitacional en Chile,http://deficitcero.cl/talleres/6,MEM-124159,Mateo Roa,mateo.roa.demo24159@gmail.com,http://comunidad.deficitcero.cl/u/72038,FORM-10024,http://forms.deficitcero.cl/f/376,completado,2026-04-04,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""No""}"
ENTRY-10025,Jornada Comités de Vivienda - Región Metropolitana,http://deficitcero.cl/talleres/8,MEM-110460,José González,jose.gonzalez.demo10460@gmail.com,http://comunidad.deficitcero.cl/u/16999,FORM-10025,http://forms.deficitcero.cl/f/535,completado,2024-02-16,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""S\u00ed""}"
ENTRY-10026,Charla: Déficit Habitacional en Chile,http://deficitcero.cl/talleres/6,MEM-144262,Bernarda Carrillo,bernarda.carrillo.demo44262@yahoo.com,http://comunidad.deficitcero.cl/u/53998,FORM-10026,http://forms.deficitcero.cl/f/473,completado,2024-09-19,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""S\u00ed""}"
ENTRY-10027,Asamblea Informativa DS49,http://deficitcero.cl/talleres/4,MEM-145893,Carla Cid,carla.cid.demo45893@gmail.com,http://comunidad.deficitcero.cl/u/18047,FORM-10027,http://forms.deficitcero.cl/f/737,completado,2024-07-27,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""No""}"
ENTRY-10028,Webinar: Cómo Postular al Subsidio Habitacional,http://deficitcero.cl/talleres/4,MEM-132811,Julián Cisterna,julian.cisterna.demo32811@outlook.com,http://comunidad.deficitcero.cl/u/79268,FORM-10028,http://forms.deficitcero.cl/f/689,completado,2025-02-11,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""No""}"
ENTRY-10029,Asamblea Informativa DS49,http://deficitcero.cl/talleres/2,MEM-133088,Marjorie Guzmán,marjorie.guzman.demo33088@hotmail.com,http://comunidad.deficitcero.cl/u/78555,FORM-10029,http://forms.deficitcero.cl/f/672,completado,2025-05-31,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""S\u00ed""}"
ENTRY-10030,Taller de Postulación DS19 - Mayo 2026,http://deficitcero.cl/talleres/6,MEM-109636,Vilma Poblete,vilma.poblete.demo9636@outlook.com,http://comunidad.deficitcero.cl/u/61998,FORM-10030,http://forms.deficitcero.cl/f/710,completado,2025-09-01,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""No""}"
ENTRY-10031,Charla: Déficit Habitacional en Chile,http://deficitcero.cl/talleres/3,MEM-112325,Gabriela Riffo,gabriela.riffo.demo12325@outlook.com,http://comunidad.deficitcero.cl/u/37119,FORM-10031,http://forms.deficitcero.cl/f/572,completado,2024-08-17,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""No""}"
ENTRY-10032,Jornada Comités de Vivienda - Región Metropolitana,http://deficitcero.cl/talleres/4,MEM-134593,Moisés Núñez,moises.nunez.demo34593@yahoo.com,http://comunidad.deficitcero.cl/u/30167,FORM-10032,http://forms.deficitcero.cl/f/774,pendiente,2026-04-09,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""No""}"
ENTRY-10033,Charla: Déficit Habitacional en Chile,http://deficitcero.cl/talleres/4,MEM-126113,Matías Arriagada,matias.arriagada.demo26113@yahoo.com,http://comunidad.deficitcero.cl/u/16184,FORM-10033,http://forms.deficitcero.cl/f/235,completado,2024-05-27,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""No""}"
ENTRY-10034,Taller de Educación Financiera,http://deficitcero.cl/talleres/6,MEM-140162,Ximena Roa,ximena.roa.demo40162@gmail.com,http://comunidad.deficitcero.cl/u/58115,FORM-10034,http://forms.deficitcero.cl/f/451,completado,2024-02-02,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""S\u00ed""}"
ENTRY-10035,Asamblea Informativa DS49,http://deficitcero.cl/talleres/2,MEM-109395,Mauricio Riquelme,mauricio.riquelme.demo9395@gmail.com,http://comunidad.deficitcero.cl/u/46471,FORM-10035,http://forms.deficitcero.cl/f/928,completado,2025-11-24,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""S\u00ed""}"
ENTRY-10036,Webinar: Cómo Postular al Subsidio Habitacional,http://deficitcero.cl/talleres/2,MEM-108116,Eduardo Cifuentes,eduardo.cifuentes.demo8116@hotmail.com,http://comunidad.deficitcero.cl/u/44093,FORM-10036,http://forms.deficitcero.cl/f/279,pendiente,2024-12-15,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""No""}"
ENTRY-10037,Taller Ahorro y Subsidio Habitacional,http://deficitcero.cl/talleres/7,MEM-149313,Melanie González,melanie.gonzalez.demo49313@gmail.com,http://comunidad.deficitcero.cl/u/28737,FORM-10037,http://forms.deficitcero.cl/f/279,completado,2025-09-16,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""S\u00ed""}"
ENTRY-10038,Jornada Comités de Vivienda - Región Metropolitana,http://deficitcero.cl/talleres/8,MEM-106028,Jaime Machuca,jaime.machuca.demo6028@gmail.com,http://comunidad.deficitcero.cl/u/35756,FORM-10038,http://forms.deficitcero.cl/f/822,completado,2025-10-31,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""S\u00ed""}"
ENTRY-10039,Taller de Postulación DS19 - Mayo 2026,http://deficitcero.cl/talleres/7,MEM-134570,Cristopher Quezada,cristopher.quezada.demo34570@gmail.com,http://comunidad.deficitcero.cl/u/47226,FORM-10039,http://forms.deficitcero.cl/f/853,completado,2024-05-10,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""No""}"
ENTRY-10040,Taller de Postulación DS19 - Mayo 2026,http://deficitcero.cl/talleres/3,MEM-129231,Esteban Villegas,esteban.villegas.demo29231@hotmail.com,http://comunidad.deficitcero.cl/u/68709,FORM-10040,http://forms.deficitcero.cl/f/458,pendiente,2026-01-19,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""S\u00ed""}"
ENTRY-10041,Taller Ahorro y Subsidio Habitacional,http://deficitcero.cl/talleres/1,MEM-106494,Alfredo Erices,alfredo.erices.demo6494@outlook.com,http://comunidad.deficitcero.cl/u/13659,FORM-10041,http://forms.deficitcero.cl/f/256,completado,2024-07-31,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""S\u00ed""}"
ENTRY-10042,Taller de Postulación DS19 - Mayo 2026,http://deficitcero.cl/talleres/4,MEM-125165,Sandra Cáceres,sandra.caceres.demo25165@outlook.com,http://comunidad.deficitcero.cl/u/43964,FORM-10042,http://forms.deficitcero.cl/f/476,pendiente,2024-08-12,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""No""}"
ENTRY-10043,Taller de Postulación DS19 - Mayo 2026,http://deficitcero.cl/talleres/2,MEM-131110,Eduardo Sánchez,eduardo.sanchez.demo31110@hotmail.com,http://comunidad.deficitcero.cl/u/5078,FORM-10043,http://forms.deficitcero.cl/f/948,completado,2024-02-09,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""S\u00ed""}"
ENTRY-10044,Asamblea Informativa DS49,http://deficitcero.cl/talleres/5,MEM-138237,Perla Rebolledo,perla.rebolledo.demo38237@hotmail.com,http://comunidad.deficitcero.cl/u/31768,FORM-10044,http://forms.deficitcero.cl/f/773,completado,2025-11-17,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""S\u00ed""}"
ENTRY-10045,Charla: Déficit Habitacional en Chile,http://deficitcero.cl/talleres/2,MEM-120221,Cristian González,cristian.gonzalez.demo20221@gmail.com,http://comunidad.deficitcero.cl/u/72246,FORM-10045,http://forms.deficitcero.cl/f/366,completado,2025-12-30,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""S\u00ed""}"
ENTRY-10046,Jornada Comités de Vivienda - Región Metropolitana,http://deficitcero.cl/talleres/2,MEM-139476,Francisca Aguilera,francisca.aguilera.demo39476@yahoo.com,http://comunidad.deficitcero.cl/u/39721,FORM-10046,http://forms.deficitcero.cl/f/443,completado,2024-12-11,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""S\u00ed""}"
ENTRY-10047,Taller Subsidio Sectores Medios DS.01,http://deficitcero.cl/talleres/2,MEM-112798,Camila Neira,camila.neira.demo12798@gmail.com,http://comunidad.deficitcero.cl/u/7322,FORM-10047,http://forms.deficitcero.cl/f/547,completado,2025-07-13,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""S\u00ed""}"
ENTRY-10048,Taller de Educación Financiera,http://deficitcero.cl/talleres/7,MEM-142671,Vicente Araya,vicente.araya.demo42671@yahoo.com,http://comunidad.deficitcero.cl/u/65692,FORM-10048,http://forms.deficitcero.cl/f/607,pendiente,2026-03-31,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""No""}"
ENTRY-10049,Charla: Déficit Habitacional en Chile,http://deficitcero.cl/talleres/5,MEM-126992,Consuelo Venegas,consuelo.venegas.demo26992@hotmail.com,http://comunidad.deficitcero.cl/u/86862,FORM-10049,http://forms.deficitcero.cl/f/942,completado,2024-04-13,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""S\u00ed""}"
ENTRY-10050,Asamblea Informativa DS49,http://deficitcero.cl/talleres/5,MEM-135046,Macarena González,macarena.gonzalez.demo35046@yahoo.com,http://comunidad.deficitcero.cl/u/66251,FORM-10050,http://forms.deficitcero.cl/f/773,completado,2025-05-03,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""S\u00ed""}"
ENTRY-10051,Charla: Déficit Habitacional en Chile,http://deficitcero.cl/talleres/6,MEM-128704,Manuela Barrientos,manuela.barrientos.demo28704@outlook.com,http://comunidad.deficitcero.cl/u/42286,FORM-10051,http://forms.deficitcero.cl/f/253,completado,2024-04-21,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""No""}"
ENTRY-10052,Charla: Déficit Habitacional en Chile,http://deficitcero.cl/talleres/1,MEM-145135,Piero Rojas,piero.rojas.demo45135@outlook.com,http://comunidad.deficitcero.cl/u/80773,FORM-10052,http://forms.deficitcero.cl/f/387,completado,2025-05-15,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""No""}"
ENTRY-10053,Asamblea Informativa DS49,http://deficitcero.cl/talleres/3,MEM-137448,María Vidal,maria.vidal.demo37448@yahoo.com,http://comunidad.deficitcero.cl/u/6156,FORM-10053,http://forms.deficitcero.cl/f/117,completado,2025-03-27,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""No""}"
ENTRY-10054,Charla: Déficit Habitacional en Chile,http://deficitcero.cl/talleres/8,MEM-114810,Laura Parra,laura.parra.demo14810@outlook.com,http://comunidad.deficitcero.cl/u/4083,FORM-10054,http://forms.deficitcero.cl/f/465,completado,2025-11-26,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""S\u00ed""}"
ENTRY-10055,Jornada Comités de Vivienda - Región Metropolitana,http://deficitcero.cl/talleres/7,MEM-108195,Emilia Cuevas,emilia.cuevas.demo8195@hotmail.com,http://comunidad.deficitcero.cl/u/29045,FORM-10055,http://forms.deficitcero.cl/f/745,pendiente,2026-02-16,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""No""}"
ENTRY-10056,Asamblea Informativa DS49,http://deficitcero.cl/talleres/6,MEM-125359,Emiliano Torres,emiliano.torres.demo25359@yahoo.com,http://comunidad.deficitcero.cl/u/32432,FORM-10056,http://forms.deficitcero.cl/f/687,pendiente,2025-06-20,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""S\u00ed""}"
ENTRY-10057,Taller Ahorro y Subsidio Habitacional,http://deficitcero.cl/talleres/2,MEM-114196,Victoria Suárez,victoria.suarez.demo14196@hotmail.com,http://comunidad.deficitcero.cl/u/59951,FORM-10057,http://forms.deficitcero.cl/f/903,completado,2025-07-01,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""No""}"
ENTRY-10058,Asamblea Informativa DS49,http://deficitcero.cl/talleres/4,MEM-105969,Luisa Arriagada,luisa.arriagada.demo5969@hotmail.com,http://comunidad.deficitcero.cl/u/63447,FORM-10058,http://forms.deficitcero.cl/f/203,completado,2025-02-21,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""No""}"
ENTRY-10059,Asamblea Informativa DS49,http://deficitcero.cl/talleres/2,MEM-117760,Colomba Guerra,colomba.guerra.demo17760@gmail.com,http://comunidad.deficitcero.cl/u/88430,FORM-10059,http://forms.deficitcero.cl/f/549,completado,2025-08-04,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""S\u00ed""}"
ENTRY-10060,Taller de Postulación DS19 - Mayo 2026,http://deficitcero.cl/talleres/3,MEM-110497,María Ahumada,maria.ahumada.demo10497@yahoo.com,http://comunidad.deficitcero.cl/u/7608,FORM-10060,http://forms.deficitcero.cl/f/658,completado,2024-04-03,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""No""}"
ENTRY-10061,Charla: Déficit Habitacional en Chile,http://deficitcero.cl/talleres/8,MEM-104385,Domingo Letelier,domingo.letelier.demo4385@outlook.com,http://comunidad.deficitcero.cl/u/89985,FORM-10061,http://forms.deficitcero.cl/f/570,completado,2025-08-18,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""No""}"
ENTRY-10062,Jornada Comités de Vivienda - Región Metropolitana,http://deficitcero.cl/talleres/4,MEM-115611,Emilia Olivares,emilia.olivares.demo15611@hotmail.com,http://comunidad.deficitcero.cl/u/3583,FORM-10062,http://forms.deficitcero.cl/f/464,completado,2025-09-04,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""No""}"
ENTRY-10063,Charla: Déficit Habitacional en Chile,http://deficitcero.cl/talleres/7,MEM-135901,Nelson Sandoval,nelson.sandoval.demo35901@gmail.com,http://comunidad.deficitcero.cl/u/11137,FORM-10063,http://forms.deficitcero.cl/f/761,completado,2026-01-07,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""No""}"
ENTRY-10064,Charla: Déficit Habitacional en Chile,http://deficitcero.cl/talleres/8,MEM-112763,Jaime Cabrera,jaime.cabrera.demo12763@outlook.com,http://comunidad.deficitcero.cl/u/32076,FORM-10064,http://forms.deficitcero.cl/f/954,completado,2025-05-31,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""S\u00ed""}"
ENTRY-10065,Taller de Educación Financiera,http://deficitcero.cl/talleres/2,MEM-115138,Graciela Moreno,graciela.moreno.demo15138@outlook.com,http://comunidad.deficitcero.cl/u/67660,FORM-10065,http://forms.deficitcero.cl/f/922,pendiente,2024-10-14,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""No""}"
ENTRY-10066,Charla: Déficit Habitacional en Chile,http://deficitcero.cl/talleres/2,MEM-110802,Ana Castillo,ana.castillo.demo10802@gmail.com,http://comunidad.deficitcero.cl/u/6700,FORM-10066,http://forms.deficitcero.cl/f/770,completado,2025-04-26,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""S\u00ed""}"
ENTRY-10067,Asamblea Informativa DS49,http://deficitcero.cl/talleres/2,MEM-111160,Benjamín Miranda,benjamin.miranda.demo11160@outlook.com,http://comunidad.deficitcero.cl/u/71119,FORM-10067,http://forms.deficitcero.cl/f/857,pendiente,2024-12-27,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""No""}"
ENTRY-10068,Taller Subsidio Sectores Medios DS.01,http://deficitcero.cl/talleres/2,MEM-119564,Gabriela Miranda,gabriela.miranda.demo19564@hotmail.com,http://comunidad.deficitcero.cl/u/6306,FORM-10068,http://forms.deficitcero.cl/f/967,completado,2024-11-28,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""S\u00ed""}"
ENTRY-10069,Taller de Educación Financiera,http://deficitcero.cl/talleres/4,MEM-134822,Paula Sepúlveda,paula.sepulveda.demo34822@yahoo.com,http://comunidad.deficitcero.cl/u/79268,FORM-10069,http://forms.deficitcero.cl/f/864,completado,2026-02-03,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""S\u00ed""}"
ENTRY-10070,Asamblea Informativa DS49,http://deficitcero.cl/talleres/7,MEM-138253,María Ortiz,maria.ortiz.demo38253@outlook.com,http://comunidad.deficitcero.cl/u/56427,FORM-10070,http://forms.deficitcero.cl/f/612,pendiente,2024-11-13,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""S\u00ed""}"
ENTRY-10071,Taller Subsidio Sectores Medios DS.01,http://deficitcero.cl/talleres/6,MEM-146100,Alonso Vergara,alonso.vergara.demo46100@hotmail.com,http://comunidad.deficitcero.cl/u/69777,FORM-10071,http://forms.deficitcero.cl/f/779,pendiente,2025-06-14,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""S\u00ed""}"
ENTRY-10072,Taller de Postulación DS19 - Mayo 2026,http://deficitcero.cl/talleres/7,MEM-107724,Ingrid Berríos,ingrid.berrios.demo7724@outlook.com,http://comunidad.deficitcero.cl/u/41748,FORM-10072,http://forms.deficitcero.cl/f/158,pendiente,2024-10-01,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""S\u00ed""}"
ENTRY-10073,Webinar: Cómo Postular al Subsidio Habitacional,http://deficitcero.cl/talleres/4,MEM-114485,Carolina Valencia,carolina.valencia.demo14485@gmail.com,http://comunidad.deficitcero.cl/u/14670,FORM-10073,http://forms.deficitcero.cl/f/734,completado,2026-01-21,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""No""}"
ENTRY-10074,Asamblea Informativa DS49,http://deficitcero.cl/talleres/4,MEM-139246,Marlene Zúñiga,marlene.zuniga.demo39246@gmail.com,http://comunidad.deficitcero.cl/u/24873,FORM-10074,http://forms.deficitcero.cl/f/293,completado,2026-03-06,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""No""}"
ENTRY-10075,Taller de Postulación DS19 - Mayo 2026,http://deficitcero.cl/talleres/4,MEM-146058,María Navarro,maria.navarro.demo46058@gmail.com,http://comunidad.deficitcero.cl/u/1963,FORM-10075,http://forms.deficitcero.cl/f/486,pendiente,2025-07-11,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""S\u00ed""}"
ENTRY-10076,Webinar: Cómo Postular al Subsidio Habitacional,http://deficitcero.cl/talleres/1,MEM-125936,Ramón Castro,ramon.castro.demo25936@outlook.com,http://comunidad.deficitcero.cl/u/32876,FORM-10076,http://forms.deficitcero.cl/f/248,pendiente,2024-10-24,"{""pregunta_1"": ""respuesta"", ""asistira_presencial"": ""No""}"
