TALLER_ENTRY_ID,TALLER_TITLE,FECHA_TALLER,MEMBER_EMAIL,MEMBER_SCREEN_NAME
T-1010,Webinar: Cómo Postular al Subsidio Habitacional,29/05/2025,alvaro.campos.demo40190@hotmail.com,Álvaro Campos
T-1043,Jornada Comités de Vivienda - Región Metropolitana,11/02/2025,victor.san martin.demo39416@yahoo.com,Víctor San Martín
T-1016,Charla: Déficit Habitacional en Chile,28/11/2025,claudia.roman.demo4244@gmail.com,Claudia Román
T-1042,Charla: Déficit Habitacional en Chile,30/05/2025,silvia.silva.demo51295@outlook.com,Silvia Silva
T-1038,Webinar: Cómo Postular al Subsidio Habitacional,20/07/2025,florencia.avalos.demo5051@yahoo.com,Florencia Ávalos
T-1029,Jornada Comités de Vivienda - Región Metropolitana,22/06/2024,maria.cardenas.demo32866@hotmail.com,María Cárdenas
T-1004,Taller Ahorro y Subsidio Habitacional,02/08/2025,tomas.cuevas.demo40519@outlook.com,Tomás Cuevas
T-1006,Taller de Postulación DS19 - Mayo 2026,11/09/2023,oscar.rojas.demo27815@hotmail.com,Oscar Rojas
T-1014,Taller de Educación Financiera,06/08/2025,pedro.varela.demo34054@yahoo.com,Pedro Varela
T-1017,Taller de Educación Financiera,30/11/2024,patricia.valenzuela.demo10770@yahoo.com,Patricia Valenzuela
T-1040,Taller de Educación Financiera,26/11/2025,esteban.rodriguez.demo36907@yahoo.com,Esteban Rodríguez
T-1009,Charla: Déficit Habitacional en Chile,30/08/2025,misael.pena.demo44628@outlook.com,Misael Peña
T-1032,Taller Ahorro y Subsidio Habitacional,31/07/2025,mariana.venegas.demo690@gmail.com,Mariana Venegas
T-1016,Webinar: Cómo Postular al Subsidio Habitacional,27/12/2024,georgina.munoz.demo3373@gmail.com,Georgina Muñoz
T-1041,Taller de Postulación DS19 - Mayo 2026,29/05/2025,benjamin.gonzalez.demo3487@gmail.com,Benjamín González
T-1053,Taller de Educación Financiera,02/05/2026,javiera.silva.demo24192@yahoo.com,Javiera Silva
T-1048,Charla: Déficit Habitacional en Chile,14/04/2025,elcira.gallardo.demo32446@hotmail.com,Elcira Gallardo
T-1057,Taller de Postulación DS19 - Mayo 2026,13/07/2024,javier.suarez.demo3008@outlook.com,Javier Suárez
T-1036,Jornada Comités de Vivienda - Región Metropolitana,28/01/2025,jose.salgado.demo14639@hotmail.com,José Salgado
T-1008,Webinar: Cómo Postular al Subsidio Habitacional,27/05/2025,soledad.marambio.demo48913@outlook.com,Soledad Marambio
T-1009,Taller de Educación Financiera,05/02/2023,madeleine.contreras.demo37139@gmail.com,Madeleine Contreras
T-1042,Taller Ahorro y Subsidio Habitacional,30/08/2024,brian.gamboa.demo42068@outlook.com,Brian Gamboa
T-1058,Taller de Postulación DS19 - Mayo 2026,06/08/2023,franco.andrade.demo22002@outlook.com,Franco Andrade
T-1012,Asamblea Informativa DS49,08/01/2023,norma.oyarzo.demo8045@yahoo.com,Norma Oyarzo
T-1059,Jornada Comités de Vivienda - Región Metropolitana,30/06/2024,emily.soto.demo8213@gmail.com,Emily Soto
T-1002,Taller Ahorro y Subsidio Habitacional,07/03/2023,scarlet.aguirre.demo38414@gmail.com,Scarlet Aguirre
T-1040,Webinar: Cómo Postular al Subsidio Habitacional,17/11/2023,julieta.catalan.demo42958@yahoo.com,Julieta Catalán
T-1008,Taller Subsidio Sectores Medios DS.01,16/10/2024,carlos.hernandez.demo22649@yahoo.com,Carlos Hernández
T-1056,Taller de Postulación DS19 - Mayo 2026,12/02/2025,nancy.garrido.demo35797@hotmail.com,Nancy Garrido
T-1045,Taller de Postulación DS19 - Mayo 2026,22/04/2024,juan.sandoval.demo23233@outlook.com,Juan Sandoval
T-1029,Asamblea Informativa DS49,06/01/2023,leandro.duran.demo39263@gmail.com,Leandro Durán
T-1042,Asamblea Informativa DS49,10/05/2023,maria.alvarez.demo51207@hotmail.com,María Álvarez
T-1058,Taller Ahorro y Subsidio Habitacional,13/01/2024,danilo.espinoza.demo22840@gmail.com,Danilo Espinoza
T-1013,Jornada Comités de Vivienda - Región Metropolitana,04/04/2025,jose.ramirez.demo15941@outlook.com,José Ramírez
T-1045,Taller Ahorro y Subsidio Habitacional,18/12/2025,marlene.garcia.demo24487@hotmail.com,Marlene García
T-1022,Webinar: Cómo Postular al Subsidio Habitacional,08/06/2024,claudia.jerez.demo28152@hotmail.com,Claudia Jerez
T-1052,Asamblea Informativa DS49,10/10/2024,nataly.venegas.demo41144@yahoo.com,Nataly Venegas
T-1012,Taller Subsidio Sectores Medios DS.01,12/12/2025,francis.rivera.demo36533@outlook.com,Francis Rivera
T-1050,Taller Ahorro y Subsidio Habitacional,15/04/2026,tomas.gomez.demo23626@yahoo.com,Tomás Gómez
T-1057,Taller de Educación Financiera,06/05/2026,patricio.munoz.demo23869@gmail.com,Patricio Muñoz
T-1032,Webinar: Cómo Postular al Subsidio Habitacional,19/09/2023,trinidad.campos.demo1410@hotmail.com,Trinidad Campos
T-1051,Taller Subsidio Sectores Medios DS.01,05/03/2023,patricio.torres.demo34700@hotmail.com,Patricio Torres
T-1033,Taller Ahorro y Subsidio Habitacional,11/12/2023,erik.vargas.demo17803@yahoo.com,Erik Vargas
T-1005,Taller de Postulación DS19 - Mayo 2026,05/07/2024,valentin.sanchez.demo39593@outlook.com,Valentín Sánchez
T-1024,Taller Ahorro y Subsidio Habitacional,05/05/2023,emelina.toro.demo24884@yahoo.com,Emelina Toro
T-1007,Taller de Postulación DS19 - Mayo 2026,06/07/2024,humberto.inostroza.demo11248@hotmail.com,Humberto Inostroza
T-1024,Webinar: Cómo Postular al Subsidio Habitacional,18/12/2025,katherine.gaete.demo26809@outlook.com,Katherine Gaete
T-1032,Taller Ahorro y Subsidio Habitacional,26/05/2024,victor.paredes.demo3985@hotmail.com,Víctor Paredes
T-1008,Taller de Educación Financiera,27/03/2023,macarena.medina.demo40129@gmail.com,Macarena Medina
T-1038,Asamblea Informativa DS49,09/06/2024,carolina.olivares.demo51015@yahoo.com,Carolina Olivares
T-1031,Taller Ahorro y Subsidio Habitacional,22/09/2023,graciela.romero.demo20156@yahoo.com,Graciela Romero
T-1049,Taller de Educación Financiera,25/02/2023,eduardo.gonzalez.demo15479@hotmail.com,Eduardo González
T-1057,Taller de Postulación DS19 - Mayo 2026,25/06/2023,florentino.gutierrez.demo20512@hotmail.com,Florentino Gutiérrez
T-1059,Taller Subsidio Sectores Medios DS.01,14/07/2023,filomena.campos.demo43058@outlook.com,Filomena Campos
T-1048,Taller de Educación Financiera,09/04/2023,abel.toro.demo17733@outlook.com,Abel Toro
T-1055,Taller Subsidio Sectores Medios DS.01,06/11/2023,julia.miranda.demo18250@outlook.com,Julia Miranda
T-1034,Jornada Comités de Vivienda - Región Metropolitana,16/12/2023,julio.arancibia.demo25805@yahoo.com,Julio Arancibia
T-1036,Jornada Comités de Vivienda - Región Metropolitana,23/09/2024,jonathan.vera.demo51197@outlook.com,Jonathan Vera
T-1034,Charla: Déficit Habitacional en Chile,20/02/2023,fabiola.toledo.demo29017@yahoo.com,Fabiola Toledo
T-1037,Asamblea Informativa DS49,11/01/2024,claudia.barria.demo40648@hotmail.com,Claudia Barría
T-1040,Taller Subsidio Sectores Medios DS.01,12/03/2026,nelson.pozo.demo22590@gmail.com,Nelson Pozo
T-1053,Taller de Postulación DS19 - Mayo 2026,23/03/2025,gabriela.olivares.demo27685@yahoo.com,Gabriela Olivares
T-1010,Charla: Déficit Habitacional en Chile,06/03/2025,roberto.vega.demo45785@yahoo.com,Roberto Vega
T-1050,Taller Ahorro y Subsidio Habitacional,30/11/2023,alejandra.videla.demo2641@gmail.com,Alejandra Videla
T-1052,Webinar: Cómo Postular al Subsidio Habitacional,21/12/2024,ezequiel.morales.demo17673@outlook.com,Ezequiel Morales
T-1028,Taller de Postulación DS19 - Mayo 2026,28/09/2025,mariana.sanchez.demo44120@hotmail.com,Mariana Sánchez
T-1049,Taller Ahorro y Subsidio Habitacional,18/06/2025,mauricio.leiva.demo3856@outlook.com,Mauricio Leiva
T-1007,Taller Ahorro y Subsidio Habitacional,12/09/2025,alejandro.medina.demo39661@outlook.com,Alejandro Medina
T-1037,Taller Subsidio Sectores Medios DS.01,25/08/2024,colomba.gonzalez.demo11150@outlook.com,Colomba González
T-1029,Taller Subsidio Sectores Medios DS.01,13/07/2024,tania.gomez.demo9584@hotmail.com,Tania Gómez
T-1028,Asamblea Informativa DS49,04/06/2024,patricio.vergara.demo19609@outlook.com,Patricio Vergara
T-1033,Taller de Educación Financiera,24/11/2023,juana.alfaro.demo20841@yahoo.com,Juana Alfaro
T-1038,Taller Ahorro y Subsidio Habitacional,24/05/2024,victor.fuentes.demo38113@yahoo.com,Víctor Fuentes
T-1028,Charla: Déficit Habitacional en Chile,18/04/2026,antonia.astudillo.demo26432@yahoo.com,Antonia Astudillo
T-1023,Jornada Comités de Vivienda - Región Metropolitana,14/03/2026,sandra.lagos.demo37563@gmail.com,Sandra Lagos
T-1030,Asamblea Informativa DS49,18/12/2024,eduardo.valdivia.demo16910@yahoo.com,Eduardo Valdivia
T-1025,Asamblea Informativa DS49,16/07/2025,sofia.varela.demo42233@outlook.com,Sofía Varela
T-1024,Webinar: Cómo Postular al Subsidio Habitacional,22/05/2025,daniela.gallegos.demo51373@hotmail.com,Daniela Gallegos
T-1002,Taller Ahorro y Subsidio Habitacional,22/03/2025,david.valdebenito.demo26797@gmail.com,David Valdebenito
T-1050,Taller de Postulación DS19 - Mayo 2026,01/12/2024,angela.perez.demo16904@yahoo.com,Ángela Pérez
T-1046,Taller de Postulación DS19 - Mayo 2026,17/03/2026,amparo.perez.demo39888@hotmail.com,Amparo Pérez
T-1007,Asamblea Informativa DS49,24/12/2024,francisco.vergara.demo10968@yahoo.com,Francisco Vergara
T-1053,Taller Subsidio Sectores Medios DS.01,27/05/2026,paulina.badilla.demo44483@outlook.com,Paulina Badilla
T-1054,Jornada Comités de Vivienda - Región Metropolitana,24/02/2025,nelson.sanchez.demo35841@yahoo.com,Nelson Sánchez
T-1032,Charla: Déficit Habitacional en Chile,31/01/2024,alexander.vera.demo11056@outlook.com,Alexander Vera
T-1010,Jornada Comités de Vivienda - Región Metropolitana,27/05/2023,haydee.troncoso.demo43864@hotmail.com,Haydée Troncoso
T-1009,Taller de Postulación DS19 - Mayo 2026,02/11/2024,francisco.perez.demo12171@hotmail.com,Francisco Pérez
T-1000,Jornada Comités de Vivienda - Región Metropolitana,25/07/2023,pablo.diaz.demo25242@hotmail.com,Pablo Díaz
T-1001,Taller Subsidio Sectores Medios DS.01,31/05/2024,maria.vega.demo34634@gmail.com,María Vega
T-1003,Webinar: Cómo Postular al Subsidio Habitacional,25/11/2024,esteban.torres.demo23059@gmail.com,Esteban Torres
T-1040,Taller Ahorro y Subsidio Habitacional,12/06/2023,isidora.hermosilla.demo15183@outlook.com,Isidora Hermosilla
T-1057,Asamblea Informativa DS49,26/02/2026,isabel.carrasco.demo6522@outlook.com,Isabel Carrasco
T-1041,Taller Subsidio Sectores Medios DS.01,29/08/2024,felipe.orellana.demo50198@gmail.com,Felipe Orellana
T-1054,Webinar: Cómo Postular al Subsidio Habitacional,09/06/2023,maria.rodriguez.demo37417@gmail.com,María Rodríguez
T-1033,Taller de Educación Financiera,19/04/2025,celia.arias.demo37416@gmail.com,Celia Arias
T-1000,Taller de Postulación DS19 - Mayo 2026,22/01/2025,daniella.rubilar.demo27724@yahoo.com,Daniella Rubilar
T-1031,Taller de Postulación DS19 - Mayo 2026,29/09/2024,josefa.pavez.demo51724@outlook.com,Josefa Pavez
T-1039,Jornada Comités de Vivienda - Región Metropolitana,05/01/2024,ivan.almonacid.demo7306@hotmail.com,Iván Almonacid
T-1043,Webinar: Cómo Postular al Subsidio Habitacional,15/05/2025,genesis.rojas.demo23037@gmail.com,Génesis Rojas
T-1045,Asamblea Informativa DS49,09/02/2025,gaspar.velasquez.demo6043@outlook.com,Gaspar Velásquez
T-1047,Taller de Postulación DS19 - Mayo 2026,13/11/2024,vicente.torres.demo9940@gmail.com,Vicente Torres
T-1047,Jornada Comités de Vivienda - Región Metropolitana,24/09/2024,benjamin.cuevas.demo41104@gmail.com,Benjamín Cuevas
T-1007,Jornada Comités de Vivienda - Región Metropolitana,15/12/2023,alejandro.gaete.demo1258@gmail.com,Alejandro Gaete
T-1029,Taller Subsidio Sectores Medios DS.01,20/02/2023,pamela.pozo.demo15714@outlook.com,Pamela Pozo
T-1031,Asamblea Informativa DS49,30/11/2023,oscar.quezada.demo44931@gmail.com,Oscar Quezada
T-1038,Jornada Comités de Vivienda - Región Metropolitana,25/10/2023,cesar.pizarro.demo43370@gmail.com,César Pizarro
T-1032,Taller de Educación Financiera,17/12/2024,laura.diaz.demo346@gmail.com,Laura Díaz
T-1009,Asamblea Informativa DS49,30/03/2026,roberto.cortez.demo30554@hotmail.com,Roberto Cortez
T-1042,Taller de Postulación DS19 - Mayo 2026,14/09/2024,raul.ramirez.demo44051@hotmail.com,Raúl Ramírez
T-1047,Charla: Déficit Habitacional en Chile,09/11/2023,vilma.valderrama.demo46844@hotmail.com,Vilma Valderrama
T-1029,Webinar: Cómo Postular al Subsidio Habitacional,24/03/2023,magdalena.hernandez.demo1426@gmail.com,Magdalena Hernández
T-1037,Taller Ahorro y Subsidio Habitacional,13/06/2024,oscar.moraga.demo11655@hotmail.com,Oscar Moraga
T-1026,Jornada Comités de Vivienda - Región Metropolitana,24/07/2023,carolina.vallejos.demo30152@outlook.com,Carolina Vallejos
T-1017,Taller Subsidio Sectores Medios DS.01,31/12/2024,millaray.vergara.demo3141@yahoo.com,Millaray Vergara
T-1043,Jornada Comités de Vivienda - Región Metropolitana,22/02/2026,cristobal.rojas.demo48869@yahoo.com,Cristóbal Rojas
T-1027,Taller de Educación Financiera,20/10/2025,alexandra.bustos.demo51596@gmail.com,Alexandra Bustos
T-1040,Webinar: Cómo Postular al Subsidio Habitacional,06/12/2023,julio.araya.demo8243@gmail.com,Julio Araya
T-1048,Asamblea Informativa DS49,01/03/2025,emilio.alvarado.demo28459@hotmail.com,Emilio Alvarado
T-1010,Jornada Comités de Vivienda - Región Metropolitana,23/02/2023,laura.villalobos.demo35605@hotmail.com,Laura Villalobos
T-1004,Asamblea Informativa DS49,09/12/2023,josefa.herrera.demo39550@yahoo.com,Josefa Herrera
T-1036,Taller Subsidio Sectores Medios DS.01,14/09/2023,fabiola.ormeno.demo9852@hotmail.com,Fabiola Ormeño
T-1043,Taller de Educación Financiera,31/05/2024,rudecindo.carcamo.demo14348@yahoo.com,Rudecindo Cárcamo
T-1041,Taller de Educación Financiera,29/04/2024,maria.perez.demo2531@hotmail.com,María Pérez
T-1053,Webinar: Cómo Postular al Subsidio Habitacional,26/08/2023,carolina.palacios.demo35257@hotmail.com,Carolina Palacios
T-1032,Taller de Postulación DS19 - Mayo 2026,21/11/2024,carmen.garcia.demo34009@hotmail.com,Carmen García
T-1003,Taller Subsidio Sectores Medios DS.01,05/09/2025,carlos.perez.demo23680@yahoo.com,Carlos Pérez
T-1037,Taller Subsidio Sectores Medios DS.01,13/09/2025,luis.venegas.demo48096@yahoo.com,Luis Venegas
T-1025,Webinar: Cómo Postular al Subsidio Habitacional,29/12/2023,mario.maldonado.demo19014@outlook.com,Mario Maldonado
T-1032,Webinar: Cómo Postular al Subsidio Habitacional,10/02/2026,ana.carrasco.demo17466@hotmail.com,Ana Carrasco
T-1054,Taller Subsidio Sectores Medios DS.01,15/09/2025,luis.cid.demo3272@outlook.com,Luis Cid
T-1025,Taller Subsidio Sectores Medios DS.01,22/11/2025,carlos.olivares.demo33925@gmail.com,Carlos Olivares
T-1057,Taller de Postulación DS19 - Mayo 2026,13/11/2024,dylan.garrido.demo13657@gmail.com,Dylan Garrido
T-1037,Webinar: Cómo Postular al Subsidio Habitacional,08/07/2023,francisca.vallejos.demo30906@yahoo.com,Francisca Vallejos
T-1055,Asamblea Informativa DS49,04/09/2025,luisa.villarroel.demo20063@hotmail.com,Luisa Villarroel
T-1042,Webinar: Cómo Postular al Subsidio Habitacional,08/01/2024,monserrat.arias.demo38031@hotmail.com,Monserrat Arias
T-1058,Jornada Comités de Vivienda - Región Metropolitana,18/09/2023,juan.caceres.demo22442@outlook.com,Juan Cáceres
T-1057,Jornada Comités de Vivienda - Región Metropolitana,14/04/2024,raul.fredes.demo837@outlook.com,Raúl Fredes
T-1034,Jornada Comités de Vivienda - Región Metropolitana,25/12/2024,daniel.bustamante.demo23962@gmail.com,Daniel Bustamante
T-1047,Webinar: Cómo Postular al Subsidio Habitacional,20/11/2023,martin.farias.demo12067@yahoo.com,Martín Farías
T-1053,Webinar: Cómo Postular al Subsidio Habitacional,02/08/2024,ema.escobar.demo20835@outlook.com,Ema Escobar
T-1007,Taller Subsidio Sectores Medios DS.01,23/09/2023,constanza.estrada.demo35105@yahoo.com,Constanza Estrada
T-1013,Taller Subsidio Sectores Medios DS.01,23/05/2024,yohana.fredes.demo25233@gmail.com,Yohana Fredes
T-1012,Charla: Déficit Habitacional en Chile,05/06/2025,magaly.contreras.demo29958@yahoo.com,Magaly Contreras
T-1038,Taller Subsidio Sectores Medios DS.01,11/04/2026,aldo.aguila.demo11014@outlook.com,Aldo Águila
T-1054,Charla: Déficit Habitacional en Chile,12/02/2023,eduardo.zamora.demo6358@outlook.com,Eduardo Zamora
T-1042,Taller de Postulación DS19 - Mayo 2026,07/03/2024,rigoberto.bascunan.demo31128@gmail.com,Rigoberto Bascuñán
T-1004,Taller Ahorro y Subsidio Habitacional,10/08/2025,francisco.oyarzun.demo14004@hotmail.com,Francisco Oyarzún
T-1050,Charla: Déficit Habitacional en Chile,11/05/2024,cecilia.rojas.demo10724@yahoo.com,Cecilia Rojas
T-1006,Charla: Déficit Habitacional en Chile,15/05/2023,macarena.avalos.demo5372@hotmail.com,Macarena Ávalos
T-1012,Taller de Educación Financiera,06/06/2025,patricia.castro.demo13430@hotmail.com,Patricia Castro
T-1002,Asamblea Informativa DS49,12/05/2025,miriam.olave.demo46248@gmail.com,Miriam Olave
T-1025,Asamblea Informativa DS49,29/05/2025,jessica.concha.demo7615@outlook.com,Jessica Concha
T-1049,Jornada Comités de Vivienda - Región Metropolitana,19/08/2025,herminia.rodriguez.demo12004@outlook.com,Herminia Rodríguez
T-1018,Asamblea Informativa DS49,01/04/2024,norma.pardo.demo18561@yahoo.com,Norma Pardo
T-1051,Asamblea Informativa DS49,21/04/2023,maria.diaz.demo16982@gmail.com,María Díaz
T-1013,Taller Subsidio Sectores Medios DS.01,31/12/2025,vicente.araneda.demo13155@outlook.com,Vicente Araneda
T-1044,Charla: Déficit Habitacional en Chile,28/08/2023,amaro.soto.demo8977@outlook.com,Amaro Soto
T-1058,Taller Subsidio Sectores Medios DS.01,15/08/2024,melissa.lara.demo33224@outlook.com,Melissa Lara
T-1053,Taller de Postulación DS19 - Mayo 2026,29/12/2024,jeremy.rios.demo40816@gmail.com,Jeremy Ríos
T-1030,Asamblea Informativa DS49,24/03/2024,sergio.aravena.demo21281@hotmail.com,Sergio Aravena
T-1051,Taller Subsidio Sectores Medios DS.01,16/11/2023,ana.beltran.demo35514@hotmail.com,Ana Beltrán
T-1001,Taller Ahorro y Subsidio Habitacional,24/11/2025,abel.carrasco.demo44058@outlook.com,Abel Carrasco
T-1001,Webinar: Cómo Postular al Subsidio Habitacional,12/08/2023,carlos.rojas.demo39227@outlook.com,Carlos Rojas
T-1015,Taller de Postulación DS19 - Mayo 2026,21/02/2024,claudia.uribe.demo38346@gmail.com,Claudia Uribe
T-1046,Taller de Educación Financiera,31/01/2026,diana.hernandez.demo8452@outlook.com,Diana Hernández
T-1019,Asamblea Informativa DS49,26/10/2024,maria.guerrero.demo6195@outlook.com,María Guerrero
T-1034,Asamblea Informativa DS49,10/06/2024,ambar.gonzalez.demo29846@outlook.com,Ámbar González
T-1021,Taller de Postulación DS19 - Mayo 2026,15/07/2025,jose.bravo.demo46026@outlook.com,José Bravo
T-1018,Asamblea Informativa DS49,27/04/2025,maximiliano.fuentes.demo27612@outlook.com,Maximiliano Fuentes
T-1050,Jornada Comités de Vivienda - Región Metropolitana,15/02/2025,karina.carrasco.demo30429@hotmail.com,Karina Carrasco
T-1020,Jornada Comités de Vivienda - Región Metropolitana,02/10/2023,gladys.espinoza.demo13482@hotmail.com,Gladys Espinoza
T-1052,Asamblea Informativa DS49,29/01/2024,maria.aguilera.demo47205@outlook.com,María Aguilera
T-1001,Taller de Educación Financiera,15/09/2023,jessica.sepulveda.demo28420@hotmail.com,Jessica Sepúlveda
T-1041,Asamblea Informativa DS49,06/02/2024,zulema.vera.demo17460@outlook.com,Zulema Vera
T-1002,Taller Ahorro y Subsidio Habitacional,10/11/2023,jorge.carrillo.demo44712@outlook.com,Jorge Carrillo
T-1040,Taller Ahorro y Subsidio Habitacional,20/09/2024,maria.parra.demo27717@hotmail.com,María Parra
T-1028,Asamblea Informativa DS49,20/11/2023,nolberto.concha.demo17209@outlook.com,Nolberto Concha
T-1020,Taller de Educación Financiera,21/10/2025,alma.sepulveda.demo16756@gmail.com,Alma Sepúlveda
T-1013,Webinar: Cómo Postular al Subsidio Habitacional,19/04/2024,gladys.gonzalez.demo10663@outlook.com,Gladys González
T-1013,Webinar: Cómo Postular al Subsidio Habitacional,19/02/2023,eugenia.solis.demo15482@outlook.com,Eugenia Solís
T-1048,Asamblea Informativa DS49,13/01/2023,jose.toro.demo44680@outlook.com,José Toro
T-1047,Charla: Déficit Habitacional en Chile,17/08/2025,marlene.ampuero.demo37113@hotmail.com,Marlene Ampuero
T-1001,Jornada Comités de Vivienda - Región Metropolitana,10/03/2024,francisca.rios.demo8637@outlook.com,Francisca Ríos
T-1043,Charla: Déficit Habitacional en Chile,06/10/2023,marta.sepulveda.demo9052@yahoo.com,Marta Sepúlveda
T-1007,Jornada Comités de Vivienda - Región Metropolitana,08/11/2023,tomas.ormeno.demo34548@hotmail.com,Tomás Ormeño
T-1052,Webinar: Cómo Postular al Subsidio Habitacional,24/04/2024,daniela.lazcano.demo39125@gmail.com,Daniela Lazcano
T-1008,Asamblea Informativa DS49,20/04/2025,juan.reyes.demo26309@gmail.com,Juan Reyes
T-1008,Jornada Comités de Vivienda - Región Metropolitana,14/01/2026,danitza.herrera.demo46236@yahoo.com,Danitza Herrera
T-1019,Charla: Déficit Habitacional en Chile,28/01/2025,javiera.lopez.demo44222@outlook.com,Javiera López
T-1006,Taller de Postulación DS19 - Mayo 2026,30/07/2024,richard.munoz.demo22668@hotmail.com,Richard Muñoz
T-1038,Taller Subsidio Sectores Medios DS.01,07/09/2023,fresia.mondaca.demo37991@outlook.com,Fresia Mondaca
T-1045,Jornada Comités de Vivienda - Región Metropolitana,01/03/2025,aldo.valdivia.demo44062@yahoo.com,Aldo Valdivia
T-1016,Jornada Comités de Vivienda - Región Metropolitana,04/06/2025,rodrigo.bustos.demo25778@hotmail.com,Rodrigo Bustos
T-1015,Taller Ahorro y Subsidio Habitacional,05/04/2023,debora.pasten.demo42111@hotmail.com,Debora Pastén
T-1053,Taller de Educación Financiera,02/09/2024,rosa.diaz.demo13115@outlook.com,Rosa Díaz
T-1022,Webinar: Cómo Postular al Subsidio Habitacional,24/04/2024,benjamin.sandoval.demo4239@gmail.com,Benjamín Sandoval
T-1023,Taller de Postulación DS19 - Mayo 2026,10/07/2024,manuel.figueroa.demo27601@yahoo.com,Manuel Figueroa
T-1038,Asamblea Informativa DS49,12/04/2026,florentina.gonzalez.demo1090@yahoo.com,Florentina González
T-1032,Webinar: Cómo Postular al Subsidio Habitacional,22/11/2025,armando.sepulveda.demo6090@gmail.com,Armando Sepúlveda
T-1052,Taller Ahorro y Subsidio Habitacional,15/12/2024,leandro.vasquez.demo48435@gmail.com,Leandro Vásquez
T-1047,Asamblea Informativa DS49,31/05/2023,maria.abarca.demo20299@yahoo.com,María Abarca
